"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000037379",446.282666448328,-2.12516462346919,0.227831604903898,-9.32778674128907,1.08104660821368e-20,1.131083622651e-17,"Down-regulated"
"ENSMUSG00000008307",45.6426237452701,1.23129878078588,0.378943119375481,3.24929710510413,0.00115690576011491,0.0110454370013183,"Up-regulated"
"ENSMUSG00000029718",254.29527640156,-0.892938235029363,0.261566538682663,-3.41380911918818,0.000640614406762922,0.00685944432036789,"Down-regulated"
"ENSMUSG00000029725",239.090209412621,-1.50849124786222,0.249348621610502,-6.04972763883402,1.45090915989477e-09,1.28029622735775e-07,"Down-regulated"
"ENSMUSG00000063739",51.3911449756016,-1.27216809600453,0.373471747424749,-3.40633021045551,0.000658424904206275,0.00701071077267392,"Down-regulated"
"ENSMUSG00000085433",38.2722261416534,1.48891401315558,0.398497766980128,3.73631708011511,0.000186735175004862,0.00264024791840851,"Up-regulated"
"ENSMUSG00000029556",966.669238180941,1.04970097184169,0.154128379288536,6.81056257573822,9.72178138309904e-12,1.60005228875994e-09,"Up-regulated"
"ENSMUSG00000109771",85.0154766855497,1.06487031335209,0.318809142884865,3.34014985805052,0.000837331935056375,0.00850571302684174,"Up-regulated"
"ENSMUSG00000037355",840.539171961971,0.726014207278096,0.190736621486231,3.80637027971321,0.000141021204216695,0.00209814554352833,"Up-regulated"
"ENSMUSG00000025825",3141.54674033058,-0.715927975376846,0.161480370926408,-4.43352942075614,9.27028503034803e-06,0.000224819760139963,"Down-regulated"
"ENSMUSG00000106951",95.9225876287147,1.28758007074902,0.293934629746267,4.3804980442777,1.18408355351799e-05,0.000277511294270903,"Up-regulated"
"ENSMUSG00000033467",96.4126123176452,-0.841445338416186,0.271310587749838,-3.10140988376038,0.00192601486035771,0.0162888369945264,"Down-regulated"
"ENSMUSG00000029246",503.448880486019,0.601471299900375,0.197090973145864,3.05174453350147,0.00227515645448529,0.0184124263786191,"Up-regulated"
"ENSMUSG00000106783",30.502389761346,1.24071504996703,0.445036153487358,2.78789720845067,0.00530513738917403,0.0354030307410575,"Up-regulated"
"ENSMUSG00000087439",94.5622188398469,1.12368541217549,0.291744893432933,3.85160267572536,0.000117347309335597,0.00180557078481914,"Up-regulated"
"ENSMUSG00000043510",115.091973831782,-0.694484324087306,0.258116451678738,-2.69058527486535,0.00713268033061863,0.0441587073046922,"Down-regulated"
"ENSMUSG00000104156",122.638620750509,0.705572069221723,0.231017424280184,3.05419416487818,0.00225665974893369,0.0183133252090752,"Up-regulated"
"ENSMUSG00000056014",181.48209797222,0.650254476434489,0.216535113558802,3.00299783137901,0.00267334336389401,0.0209519173859387,"Up-regulated"
"ENSMUSG00000053604",138.01135421145,-0.70895334559195,0.232646110628717,-3.04734664884803,0.00230871293898469,0.0186055705026118,"Down-regulated"
"ENSMUSG00000029859",1610.30425513686,0.633571664450211,0.137751894705055,4.59936805810744,4.23774490958029e-06,0.000116901106281605,"Up-regulated"
"ENSMUSG00000054422",131415.566308114,-0.861645116836593,0.174133541993867,-4.94818578299488,7.49083943866391e-07,2.65679942124816e-05,"Down-regulated"
"ENSMUSG00000107624",23.5616087174018,-1.96567940822296,0.597764057534029,-3.28838675301427,0.00100763313578941,0.00983331790342659,"Down-regulated"
"ENSMUSG00000056643",123.018883479555,-0.865371748133419,0.237059440665179,-3.65044203979061,0.000261789381066368,0.00346091232297849,"Down-regulated"
"ENSMUSG00000037621",386.479128695269,-0.701668369628612,0.222219544664412,-3.15754570862904,0.0015910329127845,0.0140988808871551,"Down-regulated"
"ENSMUSG00000030091",659.939451518325,0.729151308356592,0.170827542345009,4.26834747106514,1.96926410988976e-05,0.000427344898987632,"Up-regulated"
"ENSMUSG00000108368",172.588319271178,0.739061527899011,0.24900629301611,2.96804357410837,0.00299701840751809,0.0229604497535051,"Up-regulated"
"ENSMUSG00000055799",140.43935891587,-0.830836065381687,0.230204502413856,-3.6091217012256,0.000307235457095167,0.0039328814445644,"Down-regulated"
"ENSMUSG00000072999",53.1768833065597,-1.87637632243678,0.418286800397376,-4.48586070766327,7.26201750083673e-06,0.000184357075133893,"Down-regulated"
"ENSMUSG00000102577",32.396984122237,-2.2855030191731,0.4795859809219,-4.76557512123209,1.8831571735899e-06,5.94493238766053e-05,"Down-regulated"
"ENSMUSG00000079523",88.6863915755662,-1.19448280041176,0.360671410755931,-3.31183111494268,0.000926874817381488,0.00921089709973137,"Down-regulated"
"ENSMUSG00000023367",4762.41949233597,-0.757101246528498,0.197930950215694,-3.82507761268993,0.000130730894902446,0.0019762086156151,"Down-regulated"
"ENSMUSG00000029815",302.220854558117,-0.901376238598899,0.173945493938652,-5.18194647178846,2.19582238682985e-07,9.77641529552694e-06,"Down-regulated"
"ENSMUSG00000029632",7514.17758073625,-0.692281527452027,0.134687020143813,-5.13992756475598,2.74844400818092e-07,1.16356091999521e-05,"Down-regulated"
"ENSMUSG00000107962",86.042994233572,1.31330839910004,0.354148413362653,3.70835601557585,0.000208609224190482,0.00287731442179113,"Up-regulated"
"ENSMUSG00000030291",411.962412067244,-0.706955164227733,0.185087080609219,-3.81958136624541,0.000133678358753161,0.00200421760390614,"Down-regulated"
"ENSMUSG00000052419",459.063964257476,-0.592091229069976,0.157877341411408,-3.75032429465013,0.000176606019617748,0.00253123774497141,"Down-regulated"
"ENSMUSG00000030042",603.366151582838,-0.653992017346025,0.154646639468141,-4.22894425378544,2.34790509425751e-05,0.000496995864460752,"Down-regulated"
"ENSMUSG00000030064",1363.70895273587,-0.812002928732153,0.188892578970115,-4.29875505517144,1.7176016582254e-05,0.000380051798937849,"Down-regulated"
"ENSMUSG00000034832",977.909369839203,0.580412753547344,0.195965003932841,2.96181839562668,0.00305828108132449,0.0233442945696931,"Up-regulated"
"ENSMUSG00000044155",187.894433584914,-0.644878442095838,0.224257626780166,-2.87561431624351,0.00403242097966562,0.028897701815138,"Down-regulated"
"ENSMUSG00000002797",393.468738225796,-1.07782545720132,0.173155631257665,-6.22460528354091,4.82769867610083e-10,5.12435726141486e-08,"Down-regulated"
"ENSMUSG00000038022",109.829976470241,0.810041238935776,0.245177319265595,3.30389956690194,0.000953499844944309,0.0094179809364425,"Up-regulated"
"ENSMUSG00000093661",208.479474143425,0.792958767094158,0.280140730534482,2.83057292519109,0.00464647174858416,0.0319988331797183,"Up-regulated"
"ENSMUSG00000030149",44.8102704621877,1.09378691448343,0.371660919867151,2.9429699384977,0.00325079983105238,0.0244947098380943,"Up-regulated"
"ENSMUSG00000084319",1397.1055376104,-1.0357184352363,0.150708867431768,-6.87231251144005,6.31693765518555e-12,1.08859415027245e-09,"Down-regulated"
"ENSMUSG00000072872",156.358291115268,0.845149781085702,0.274182772723097,3.08243210429284,0.00205316561822976,0.0170588598841915,"Up-regulated"
"ENSMUSG00000091625",115.107078191915,-1.10043056820082,0.235994717688731,-4.66294575988029,3.11714931962705e-06,9.11557020459181e-05,"Down-regulated"
"ENSMUSG00000029798",542.804988720942,0.701092386231528,0.222707169048862,3.14804588117103,0.00164365892452387,0.0144429009756603,"Up-regulated"
"ENSMUSG00000023089",1235.72083480053,-0.624575558477197,0.192928991438308,-3.23733386994311,0.00120652165406581,0.0114093797215985,"Down-regulated"
"ENSMUSG00000045441",743.97107550743,1.02384599293068,0.236929928391794,4.3213029264822,1.55110551967132e-05,0.000347941709833775,"Up-regulated"
"ENSMUSG00000030102",1380.06641695092,0.857484700980066,0.184515234746581,4.64722981903235,3.36422292430558e-06,9.6060696676858e-05,"Up-regulated"
"ENSMUSG00000060032",404.191369361539,-2.36266324431899,0.216727250598297,-10.9015513175968,1.13308744074624e-27,2.3710664045787e-24,"Down-regulated"
"ENSMUSG00000001424",2419.86059129503,0.65873282322462,0.137007759242587,4.80799647309217,1.52450454738518e-06,4.95142851665148e-05,"Up-regulated"
"ENSMUSG00000030218",26.8023375836263,-1.3160670884401,0.485541536801621,-2.71051390805687,0.00671790310888039,0.0422152916082711,"Down-regulated"
"ENSMUSG00000107176",1555.37488589434,-0.95804544313969,0.143900559964659,-6.65769086218275,2.78163064369804e-11,4.11568946150392e-09,"Down-regulated"
"ENSMUSG00000004285",1132.19281282119,-0.923236436069757,0.167853533144112,-5.50025024064941,3.79252613727419e-08,2.23104107866636e-06,"Down-regulated"
"ENSMUSG00000068011",480.709590974768,-0.944444061293351,0.155571929047888,-6.0707871084033,1.27284833822838e-09,1.15805481107883e-07,"Down-regulated"
"ENSMUSG00000057841",2926.40694225938,-0.723486143248108,0.157478679860175,-4.59418471053027,4.34444438849004e-06,0.000119577157332824,"Down-regulated"
"ENSMUSG00000104030",15.3067343896984,-2.25412930789862,0.718640129653222,-3.13665938609126,0.00170884525818361,0.0148347406369827,"Down-regulated"
"ENSMUSG00000086922",821.654997238201,-0.629978086967611,0.163146154411197,-3.86143387345682,0.000112723522810378,0.00175656825758129,"Down-regulated"
"ENSMUSG00000048489",3601.80710274202,-1.08917418525349,0.21971892213967,-4.95712510623517,7.15439112115151e-07,2.56228658050434e-05,"Down-regulated"
"ENSMUSG00000106889",339.344060728998,1.22237987109826,0.236372796333425,5.17140673571411,2.32338226351627e-07,1.02818439262798e-05,"Up-regulated"
"ENSMUSG00000019689",373.272507314004,-0.972690648662204,0.214806237725969,-4.52822347693216,5.94816557515438e-06,0.000154757956207569,"Down-regulated"
"ENSMUSG00000042599",505.023343353672,0.66706136081488,0.191652833641886,3.48057134423236,0.000500345548894515,0.00568585073716591,"Up-regulated"
"ENSMUSG00000029918",839.973439971601,-0.894620408428884,0.175171771939432,-5.10710372181547,3.27134200692293e-07,1.34602858756761e-05,"Down-regulated"
