"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0051348","negative regulation of transferase activity","21/1348","215/28928",0.0976744186046512,2.09608722655441,3.56635502327652,0.00116018817009706,0.0160588802178058,0.0130043257025012,"Psen2/Zgpat/Abl1/Trib3/Fabp4/Mad2l2/Ephb2/Prkag2/Hspb1/Epha1/Cdkn1c/Akt1s1/Adarb1/Gadd45b/Cox11/Srcin1/Itgb1bp1/Cdkn1a/Spry4/Gstp2/Gstp3",21
"BP","GO:1903825","organic acid transmembrane transport","17/1348","158/28928",0.107594936708861,2.30898095631597,3.6474676922168,0.00116092443993375,0.0160588802178058,0.0130043257025012,"Mpc2/Per2/Slc23a2/Slc43a1/Slc6a8/Slc16a1/Slc16a4/Arhgef11/Slc6a9/Abcb1a/Acacb/Slc6a6/Ucp2/Slc36a1/Slc16a11/Slc1a4/Slc16a12",17
"BP","GO:0065004","protein-DNA complex assembly","18/1348","172/28928",0.104651162790698,2.24580774273687,3.62285143251244,0.00116425763577691,0.0160588802178058,0.0130043257025012,"Tspyl2/Med21/Taf10/Asf1a/Shprh/Med1/Thra/Med9/Cenpv/Cenpx/Ikzf1/Med11/H1f2/Med10/Taf9/Chrac1/Gtf2h5/Smarca2",18
"BP","GO:1902652","secondary alcohol metabolic process","18/1348","172/28928",0.104651162790698,2.24580774273687,3.62285143251244,0.00116425763577691,0.0160588802178058,0.0130043257025012,"Insig2/Apoa2/Nsdhl/Pmvk/Fdps/Ttc39b/Por/Hnf1a/Aqp8/Lrp1/Mvd/Ces1d/Apoa1/Apoc3/Cyp1a2/Acadvl/Hmgcs1/Vldlr",18
"BP","GO:0019432","triglyceride biosynthetic process","8/1348","46/28928",0.173913043478261,3.73216359179461,4.09988331582747,0.00116961982649715,0.0160588802178058,0.0130043257025012,"Mogat1/Lpgat1/Mfsd2a/Apoc3/Gpld1/C3/Sik1/Plin5",8
"BP","GO:0048147","negative regulation of fibroblast proliferation","8/1348","46/28928",0.173913043478261,3.73216359179461,4.09988331582747,0.00116961982649715,0.0160588802178058,0.0130043257025012,"Nupr1/Bax/Ifi30/Kmt2a/Nlrc3/Smarca2/Fth1/Lzts2",8
"BP","GO:0009172","purine deoxyribonucleoside monophosphate catabolic process","4/1348","11/28928",0.363636363636364,7.80361478284327,4.989522141211,0.00119002571528356,0.016118618055392,0.013052700824938,"Urad/Pnp/Xdh/Gda",4
"BP","GO:0034370","triglyceride-rich lipoprotein particle remodeling","4/1348","11/28928",0.363636363636364,7.80361478284327,4.989522141211,0.00119002571528356,0.016118618055392,0.013052700824938,"Apoa2/Apoa1/Apoc3/Gpihbp1",4
"BP","GO:0034384","high-density lipoprotein particle clearance","4/1348","11/28928",0.363636363636364,7.80361478284327,4.989522141211,0.00119002571528356,0.016118618055392,0.013052700824938,"Apoa2/Apoc3/Gpld1/Trem2",4
"BP","GO:0046130","purine ribonucleoside catabolic process","4/1348","11/28928",0.363636363636364,7.80361478284327,4.989522141211,0.00119002571528356,0.016118618055392,0.013052700824938,"Urad/Pnp/Ahcyl/Xdh",4
